temporesposta;nomefantasia
me;Walmart.com
me;SKY
me;GVT
me;Tim
me;Banco do Brasil
me;Tim
me;Submarino
me;American Express - Amex
me;GVT
me;Tim
me;Walmart.com
me;Tim
me;Americanas.com
me;Walmart.com
me;Walmart.com
me;Banco Bradesco
me;Vivo - Telefônica 
me;Samsung
me;Tim
me;Americanas.com
me;Tim
me;Oi Fixo
me;Garantec
me;Bradesco Financiamentos
me;Samsung
me;Tim
me;SKY
me;Vivo - Telefônica 
me;Oi Fixo
me;Tim
me;Tim
me;SKY
me;Claro TV 
me;SKY
me;Tim
me;SKY
me;Oi Fixo
me;Claro TV 
me;Claro Celular
me;Brastemp
me;Tim
me;Hipercard
me;Shoptime
me;Americanas.com
me;Americanas.com
me;Shoptime
me;Oi Celular
me;Magazineluiza.com
me;Walmart.com
me;Submarino
me;Submarino
me;Extra.com
me;Tim
me;Itaucard
me;Magazineluiza.com
me;Sou barato
me;Vivo - Telefônica 
me;Tim
me;Oi Fixo
me;Caixa Econômica Federal
me;Girafa.com.br
me;Tim
me;Magazineluiza.com
me;Casas Bahia
me;Magazineluiza.com
me;Walmart.com
me;Vivo - Telefônica 
me;Claro Celular
me;Centauro.com.br
me;Vivo - Telefônica 
me;Samsung
me;Walmart.com
me;Tim
me;Tim
me;Oi Fixo
me;Ricardo Eletro.com
me;Sou barato
me;Tim
me;Vivo - Telefônica 
me;Oi Fixo
me;Tim
me;Samsung
me;Samsung
me;GVT
me;Tim
me;Lojas Americanas
me;Oi Fixo
me;Claro Celular
me;Submarino
me;SKY
me;Walmart.com
me;Submarino
me;Submarino
me;Vivo - Telefônica 
me;GVT
me;Walmart.com
me;Americanas.com
me;Philips TV e Monitores
me;Vivo - Telefônica 
me;Tam
me;Tim
me;Consul
me;Banco Santander
me;Casas Bahia
me;Americanas.com
me;Claro Celular
me;SKY
me;Gol Linhas Aéreas
me;Vivo - Telefônica 
me;Submarino
me;Tim
me;Walmart.com
me;Samsung
me;SKY
me;Credicard
me;Magazineluiza.com
me;Tim
me;GVT
me;Claro TV 
me;Philips TV e Monitores
me;Casas Bahia
me;Vivo - Telefônica 
me;Tim
me;Unimed Paulistana
me;Oi Fixo
me;Gol Linhas Aéreas
me;Brastemp
me;Samsung
me;Vivo - Telefônica 
me;Tim
me;Ricardo Eletro.com
me;Claro Celular
me;Vivo - Telefônica 
me;Bradesco Financiamentos
me;Claro Celular
me;Ourocard
me;Tam
me;Lojas Colombo
me;Samsung
me;Vivo - Telefônica 
me;Tim
me;Vivo - Telefônica 
me;Samsung
me;Financeira Itaú Americanas
me;Vivo - Telefônica 
me;Cartão Submarino
me;Claro Fixo - Embratel
me;Vivo - Telefônica 
me;Claro Celular
me;Oi Fixo
me;Luizaseg
me;Vivo - Telefônica 
me;Oi Fixo
me;Extra.com
me;Tim
me;Samsung
me;Cartão Submarino
me;Extra.com
me;Claro Celular
me;Submarino
me;Americanas.com
me;Tim
me;Vivo - Telefônica 
me;Submarino
me;Tim
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Girafa.com.br
me;SKY
me;Credicard
me;Tim
me;Vivo - Telefônica 
me;SKY
me;Tim
me;Claro Celular
me;American Express - Amex
me;Submarino
me;Vivo - Telefônica 
me;Magazineluiza.com
me;Caixa Econômica Federal
me;Tam
me;Tim
me;Vivo - Telefônica 
me;Itaucard
me;American Express - Amex
me;Claro TV 
me;Walmart.com
me;Claro Celular
me;Submarino
me;Submarino
me;Ourocard
me;Banco Bradesco
me;Vivo - Telefônica 
me;Claro Celular
me;Tim
me;GVT
me;Tim
me;Banco Itaú Unibanco
me;Vivo - Telefônica 
me;Submarino
me;Banco Itaú Unibanco
me;Magazineluiza.com
me;Ricardo Eletro.com
me;Ricardo Eletro.com
me;Tim
me;Claro Celular
me;Banco Itaú Unibanco
me;Banco Bradesco
me;Oi Celular
me;Consul
me;Sou barato
me;Claro Celular
me;Claro Celular
me;GVT
me;Vivo - Telefônica 
me;Americanas.com
me;Banco Votorantim 
me;Extra.com
me;Oi Celular
me;Magazineluiza.com
me;Vivo - Telefônica 
me;Banco Santander
me;Vivo - Telefônica 
me;GVT
me;Banco Santander
me;Caixa Econômica Federal
me;Vivo - Telefônica 
me;Extra.com
me;Submarino
me;Pontofrio.com
me;Oi Celular
me;Oi Celular
me;Walmart.com
me;Amil
me;Vivo - Telefônica 
me;Pontofrio.com
me;Extra.com
me;Oi Fixo
me;Claro Fixo - Embratel
me;Tim
me;Submarino
me;Vivo - Telefônica 
me;Oi Fixo
me;Cartão Submarino
me;Oi Fixo
me;Samsung
me;Oi Fixo
me;Oi Fixo
me;Extra 
me;American Express - Amex
me;Vivo - Telefônica 
me;Bradesco Cartões
me;Vivo - Telefônica 
me;Walmart.com
me;Claro Celular
me;Walmart.com
me;Submarino
me;Tim
me;Vivo - Telefônica 
me;Banco do Brasil
me;Banco Santander
me;Americanas.com
me;Submarino
me;Lojas Americanas
me;Sou barato
me;Bradescard
me;Americanas.com
me;Walmart.com
me;Tim
me;SKY
me;Banco Santander Cartões
me;Banco Santander
me;Tam
me;Americanas.com
me;SKY
me;Tim
me;American Express - Amex
me;GVT
me;Santander Financiamentos
me;Bradescard
me;Ativos S.A
me;Oi Celular
me;SKY
me;Claro TV 
me;Banco do Brasil
me;Ponto Frio
me;Tim
me;Banco Itaú Unibanco
me;GVT
me;GVT
me;Decolar.com
me;Oi Fixo
me;Claro TV 
me;Tim
me;Claro Celular
me;Caixa Econômica Federal
me;Samsung
me;Tim
me;Oi Fixo
me;Claro Celular
me;Vivo - Telefônica 
me;Tim
me;Oi Fixo
me;Tim
me;Samsung
me;Samsung
me;GVT
me;Samsung
me;SKY
me;Tim
me;GVT
me;GVT
me;Extra.com
me;LG Electronics
me;Samsung
me;Samsung
me;Caixa Econômica Federal
me;Centauro.com.br
me;GVT
me;Walmart.com
me;Banco do Brasil
me;BIG
me;Claro TV 
me;Vivo - Telefônica 
me;Oi Celular
me;Magazineluiza.com
me;Oi Fixo
me;Walmart.com
me;Banco do Brasil
me;Claro Celular
me;Samsung
me;Bradesco Promotora 
me;Samsung
me;Samsung
me;Tim
me;Banco Santander Cartões
me;Oi Fixo
me;Tim
me;Oi Celular
me;Tim
me;Samsung
me;Vivo - Telefônica 
me;Oi Fixo
me;Samsung
me;Banco Bradesco
me;Claro Fixo - Embratel
me;Cartão Submarino
me;Banco do Brasil
me;GVT
me;Vivo - Telefônica 
me;Oi Fixo
me;Magazineluiza.com
me;GVT
me;Bradesco Cartões
me;Samsung
me;Tim
me;Tim
me;Americanas.com
me;Tim
me;Pontofrio.com
me;Tim
me;Oi Fixo
me;Tim
me;Oi Fixo
me;Tim
me;Bradesco Promotora 
me;Banco do Brasil
me;Oi Fixo
me;Oi Fixo
me;Claro Celular
me;Oi Fixo
me;GVT
me;Banco do Brasil
me;Vivo - Telefônica 
me;Tim
me;Claro Celular
me;Tim
me;Oi Fixo
me;Caixa Econômica Federal
me;Bradescard
me;Extra.com
me;SKY
me;Oi Fixo
me;Tim
me;Magazineluiza.com
me;Tim
me;Tim
me;Centauro.com.br
me;Ricardo Eletro.com
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Tim
me;Oi Fixo
me;Extra.com
me;Oi Celular
me;Tim
me;Tim
me;Tim
me;Tim
me;Tim
me;Cartão Submarino
me;Tim
me;Claro Celular
me;Claro Celular
me;Tim
me;Bradesco Cartões
me;Ricardo Eletro
me;Oi Fixo
me;Caixa Econômica Federal
me;Banco Bradesco
me;Tim
me;Banco do Brasil
me;Submarino
me;Vivo - Telefônica 
me;Bradesco Cartões
me;Itauleasing
me;Ourocard
me;Vivo - Telefônica 
me;Pontofrio.com
me;Cardif Seguros e Garantias
me;Oi Celular
me;Tim
me;Itaucard
me;Banco Bradesco
me;Tim
me;Magazineluiza.com
me;Vivo - Telefônica 
me;Tim
me;Tim
me;Claro Celular
me;Caixa Econômica Federal
me;Magazineluiza.com
me;GVT
me;Bradescard
me;Oi Fixo
me;Americanas.com
me;Tim
me;Casas Bahia
me;Tim
me;Walmart.com
me;Claro Celular
me;Tim
me;Oi Celular
me;Magazineluiza.com
me;Oi Fixo
me;Walmart.com
me;Vivo - Telefônica 
me;Banco do Brasil
me;Vivo - Telefônica 
me;Shoptime
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Oi Fixo
me;Bradesco Cartões
me;Itaucard
me;Submarino
me;SKY
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Claro Celular
me;Oi Fixo
me;Tim
me;Oi Celular
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Submarino
me;Oi Celular
me;Tim
me;Oi Fixo
me;Magazineluiza.com
me;Vivo - Telefônica 
me;Oi Celular
me;Pontofrio.com
me;Tim
me;Tim
me;Tim
me;Itaucard
me;Oi Celular
me;Tim
me;Walmart.com
me;Oi Fixo
me;Walmart.com
me;Oi Celular
me;Oi Fixo
me;Oi Fixo
me;Pontofrio.com
me;Oi Fixo
me;Banco Itaú Unibanco
me;Tim
me;Aliança do Brasil
me;Bradesco Financiamentos
me;Oi Celular
me;Tim
me;Oi Celular
me;Tim
me;Claro Celular
me;Cartão Submarino
me;Banco Santander
me;Tim
me;GVT
me;GVT
me;Tim
me;Bradesco Promotora 
me;Vivo - Telefônica 
me;Banco Itaú Unibanco
me;SKY
me;Samsung
me;Oi Fixo
me;Itaucard
me;Lojas Americanas
me;SKY
me;Oi Celular
me;Ricardo Eletro.com
me;Tim
me;Shoptime
me;Tim
me;SKY
me;Americanas.com
me;Vivo - Telefônica 
me;Oi Fixo
me;Tim
me;Claro Celular
me;Samsung
me;Tim
me;Banco Itaú Unibanco
me;GVT
me;SKY
me;Tim
me;Oi Celular
me;Bradesco Financiamentos
me;Extra.com
me;GVT
me;Claro Fixo - Embratel
me;Oi Fixo
me;Banco Bradesco
me;Tim
me;Claro Celular
me;Claro Celular
me;Bradesco Cartões
me;Bradesco Cartões
me;Tim
me;Claro Celular
me;Oi Celular
me;Walmart.com
me;Banco Bradesco
me;Banco do Brasil
me;Claro TV 
me;Tim
me;Walmart.com
me;Vivo - Telefônica 
me;Oi Fixo
me;SKY
me;Tim
me;Tim
me;Submarino
me;Vivo - Telefônica 
me;Bradescard
me;Caixa Econômica Federal
me;Americanas.com
me;Oi Celular
me;Tam
me;SKY
me;Oi Fixo
me;Magazineluiza.com
me;Samsung
me;GVT
me;Tim
me;Tim
me;Claro TV 
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Pontofrio.com
me;Tim
me;Tim
me;Vivo - Telefônica 
me;Claro Celular
me;Banco do Brasil
me;Vivo - Telefônica 
me;Oi Fixo
me;Vivo - Telefônica 
me;Submarino
me;Itaucard
me;Hipercard
me;Tim
me;SKY
me;Extra.com
me;Magazine Luiza
me;Oi Celular
me;Tim
me;Vivo - Telefônica 
me;Oi Celular
me;Tim
me;GVT
me;Vivo - Telefônica 
me;Americanas.com
me;Banco Santander Cartões
me;Centauro.com.br
me;Claro Celular
me;Tim
me;Americanas.com
me;Centauro.com.br
me;Oi Fixo
me;Compra Certa
me;SKY
me;Banco Santander Cartões
me;Tim
me;Vivo - Telefônica 
me;Oi Fixo
me;Claro Fixo - Embratel
me;Tim
me;Tim
me;Tim
me;Oi Fixo
me;Oi Fixo
me;Ricardo Eletro.com
me;Oi Fixo
me;Caixa Econômica Federal
me;Banco Itaú Unibanco
me;Tim
me;GVT
me;Oi Fixo
me;Bradescard
me;Bradescard
me;Submarino
me;Losango
me;Magazineluiza.com
me;Oi Fixo
me;Samsung
me;Americanas.com
me;SKY
me;Oi Fixo
me;Oi Fixo
me;Tim
me;Magazineluiza.com
me;Claro Fixo - Embratel
me;American Express - Amex
me;GVT
me;Tim
me;Claro Celular
me;Magazineluiza.com
me;Americanas.com
me;Banco do Brasil
me;Banco Santander Cartões
me;Tim
me;Samsung
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Americanas.com
me;Tim
me;Americanas.com
me;Banco Santander Cartões
me;Bradescard
me;Tim
me;Samsung
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;SKY
me;Bradescard
me;Bradesco Promotora 
me;Samsung
me;Submarino
me;Oi Fixo
me;Walmart.com
me;Tim
me;SKY
me;Oi Fixo
me;BB Seguro Auto
me;Walmart.com
me;Samsung
me;SKY
me;GVT
me;Claro Celular
me;Americanas.com
me;Samsung
me;Samsung
me;Oi Fixo
me;Vivo - Telefônica 
me;Oi Fixo
me;Tim
me;Magazineluiza.com
me;GVT
me;Caixa Econômica Federal
me;GVT
me;Vivo - Telefônica 
me;Banco Bradesco
me;Bradesco Promotora 
me;Bradesco Financiamentos
me;Americanas.com
me;Vivo - Telefônica 
me;Tim
me;Tim
me;Tim
me;Vivo - Telefônica 
me;Extra 
me;GVT
me;GVT
me;Cartão Submarino
me;Oi Fixo
me;American Express - Amex
me;Samsung
me;Banco Bradesco
me;GVT
me;Tim
me;GVT
me;Oi Fixo
me;Tim
me;Oi Fixo
me;Samsung
me;Tim
me;Americanas.com
me;Bradescard
me;Tam
me;SKY
me;Vivo - Telefônica 
me;GVT
me;Magazineluiza.com
me;Magazineluiza.com
me;Oi Celular
me;Oi Fixo
me;Extra.com
me;Tim
me;GVT
me;Walmart.com
me;Claro Celular
me;Banco Santander
me;Samsung
me;American Express - Amex
me;Itaucard
me;Vivo - Telefônica 
me;Claro Celular
me;Banco Santander
me;Ricardo Eletro.com
me;Tim
me;Caixa Consórcios
me;Samsung
me;Oi Celular
me;Extra.com
me;Brastemp
me;Caixa Econômica Federal
me;Tim
me;Tim
me;GVT
me;Banco Bradesco
me;Vivo - Telefônica 
me;Oi Fixo
me;GVT
me;Oi Celular
me;Banco Santander
me;Oi Fixo
me;Tim
me;Banco do Brasil
me;LG Electronics
me;Tim
me;Banco Santander
me;Oi Fixo
me;American Express - Amex
me;Banco Bradesco
me;Banco Santander
me;Banco do Brasil
me;Oi Fixo
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;LG Electronics
me;Tim
me;Oi Fixo
me;Tim
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Tim
me;Tim
me;Caixa Econômica Federal
me;Oi Fixo
me;Vivo - Telefônica 
me;Claro Fixo - Embratel
me;Oi Fixo
me;SKY
me;Bradesco Cartões
me;Claro Fixo - Embratel
me;GVT
me;Oi Fixo
me;Bradesco Cartões
me;Tim
me;Vivo - Telefônica 
me;Banco do Brasil
me;Banco Bradesco
me;Lojas Colombo.com
me;Tim
me;Vivo - Telefônica 
me;Claro TV 
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Bradescard
me;Lojas Colombo.com
me;Hipercard
me;Lojas Colombo.com
me;Lojas Colombo.com
me;Tim
me;Extra.com
me;Tim
me;Tim
me;Smiles
me;SKY
me;Oi Fixo
me;Claro Celular
me;LG Electronics
me;GVT
me;Tim
me;Walmart.com
me;Extra.com
me;Walmart.com
me;Walmart.com
me;SKY
me;Oi Celular
me;Vivo - Telefônica 
me;Ricardo Eletro.com
me;Banco do Brasil
me;Walmart.com
me;Americanas.com
me;Ricardo Eletro.com
me;Banco Santander
me;Senff
me;Lojas Colombo.com
me;Tim
me;Tim
me;Lojas Colombo.com
me;Banco do Brasil
me;Oi Fixo
me;GVT
me;Itaucard
me;Walmart.com
me;Bradesco Financiamentos
me;Mapfre Seguros
me;Tim
me;Oi Celular
me;Banco Santander
me;Tim
me;Oi Fixo
me;Oi Celular
me;Centauro.com.br
me;Extra.com
me;Casasbahia.com
me;Oi Fixo
me;Magazine Luiza
me;Lojas Colombo.com
me;Casas Bahia
me;Caixa Econômica Federal
me;GVT
me;Itaucard
me;Pontofrio.com
me;Claro Celular
me;Bradescard
me;Walmart.com
me;Tim
me;Casasbahia.com
me;Oi Fixo
me;SKY
me;Caixa Econômica Federal
me;GVT
me;GVT
me;Centauro.com.br
me;Decolar.com
me;Claro Celular
me;Claro Celular
me;Samsung
me;Vivo - Telefônica 
me;Claro TV 
me;Tim
me;Tim
me;Tim
me;Tam
me;Oi Fixo
me;Walmart.com
me;Oi Celular
me;Submarino Viagens
me;Decolar.com
me;GVT
me;Vivo - Telefônica 
me;Pontofrio.com
me;Banco Bradesco
me;Oi Celular
me;Oi Fixo
me;Caixa Econômica Federal
me;Centauro.com.br
me;SKY
me;Shoptime
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Smiles
me;Credicard
me;Oi Fixo
me;Bradescard
me;Ourocard
me;Tam
me;Vivo - Telefônica 
me;Banco Santander Cartões
me;Oi Celular
me;Extra.com
me;SKY
me;Ricardo Eletro.com
me;Banco do Brasil
me;Oi Fixo
me;Oi Celular
me;Oi Fixo
me;Light
me;GVT
me;Casasbahia.com
me;SKY
me;Oi Celular
me;Decolar.com
me;Banco Santander
me;Itaucard
me;Tim
me;Decolar.com
me;Claro Celular
me;Claro Celular
me;Samsung
me;Caixa Econômica Federal
me;Oi Fixo
me;American Express - Amex
me;Oi Celular
me;Decolar.com
me;Samsung
me;Casasbahia.com
me;Oi Fixo
me;City Lar
me;Vivo - Telefônica 
me;Oi Fixo
me;Samsung
me;Caixa Econômica Federal
me;Tam
me;Pontofrio.com
me;Claro Celular
me;Tim
me;Magazineluiza.com
me;Banco do Brasil
me;Oi Fixo
me;SKY
me;GVT
me;Banco Bradesco
me;Banco Santander Cartões
me;Vivo - Telefônica 
me;GVT
me;GVT
me;Banco do Brasil
me;Oi Fixo
me;SKY
me;Decolar.com
me;Oi Fixo
me;Oi Celular
me;Banco Itaú Unibanco
me;Walmart.com
me;Walmart.com
me;SKY
me;Lojas Colombo.com
me;Oi Celular
me;Oi Fixo
me;Caixa Econômica Federal
me;Tim
me;LG Electronics
me;Oi Celular
me;Caixa Econômica Federal
me;Oi Celular
me;Banco do Brasil
me;Walmart.com
me;Caixa Econômica Federal
me;Lojas Colombo.com
me;GVT
me;SKY
me;SKY
me;Vivo - Telefônica 
me;Claro Celular
me;Caixa Econômica Federal
me;Oi Celular
me;Oi Celular
me;Tim
me;Ourocard
me;Samsung
me;Droga Raia
me;Oi Celular
me;Banco Santander
me;GVT
me;Americanas.com
me;Banco Santander Cartões
me;Vivo - Telefônica 
me;Claro Celular
me;Tim
me;Oi Celular
me;Oi Fixo
me;Vivo - Telefônica 
me;Latina Eletrodomésticos
me;Casasbahia.com
me;Smiles
me;Oi Fixo
me;Banco Bradesco
me;SKY
me;Ponto Frio
me;Submarino
me;Tim
me;Tim
me;Oi Fixo
me;Claro Celular
me;Lojas Colombo.com
me;SKY
me;Oi Fixo
me;Claro Celular
me;Oi Celular
me;GVT
me;Lojas Colombo.com
me;Lojas Colombo.com
me;Oi Fixo
me;Lojas Colombo.com
me;Tim
me;Vivo - Telefônica 
me;Pontofrio.com
me;Submarino
me;Submarino
me;Oi Fixo
me;Tim
me;Walmart.com
me;Magazineluiza.com
me;Americanas.com
me;Tim
me;SKY
me;Banco Santander Cartões
me;Oi Fixo
me;Casasbahia.com
me;Banco do Brasil
me;Bradescard
me;Oi Fixo
me;Claro TV 
me;Claro Celular
me;GVT
me;GVT
me;Walmart.com
me;GVT
me;Walmart.com
me;Banco do Brasil
me;Banco Santander Cartões
me;Banco Fiat
me;Centauro.com.br
me;GVT
me;Banco do Brasil
me;GVT
me;Oi Fixo
me;Walmart.com
me;Bradesco Cartões
me;Oi Fixo
me;Oi Fixo
me;Vivo - Telefônica 
me;Tim
me;Oi Fixo
me;Extra.com
me;Oi Fixo
me;Walmart.com
me;SKY
me;LG Electronics
me;Oi Fixo
me;Tim
me;Vivo - Telefônica 
me;Oi Fixo
me;Oi Celular
me;SKY
me;Oi Fixo
me;Lojas Colombo.com
me;Oi Fixo
me;Oi Fixo
me;Banco Santander
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Vivo - Telefônica 
me;Oi Fixo
me;Oi Fixo
me;Bradesco Promotora 
me;Oi Fixo
me;Oi Fixo
me;Banco Bradesco
me;Americanas.com
me;Oi Fixo
me;Tim
me;Claro Celular
me;Tim
me;Moip
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Bradesco Promotora 
me;Banco Santander
me;Oi Fixo
me;Americanas.com
me;Insinuante
me;Walmart.com
me;Bradesco Cartões
me;Tim
me;Magazine Luiza
me;Bradesco Promotora 
me;GVT
me;American Express - Amex
me;Oi Fixo
me;Extra.com
me;SKY
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Casasbahia.com
me;Oi Fixo
me;Oi Fixo
me;Itaucard
me;Tim
me;Oi Celular
me;Oi Fixo
me;Tim
me;Caixa Econômica Federal
me;Tim
me;GVT
me;Gol Linhas Aéreas
me;Vivo - Telefônica 
me;Tim
me;Banco do Brasil
me;Samsung
me;Tim
me;Samsung
me;GVT
me;Banco Santander
me;Magazineluiza.com
me;Tim
me;Walmart.com
me;Banco do Brasil
me;Lojas Colombo.com
me;Extra 
me;Compra Certa
me;GVT
me;SKY
me;Lojas Colombo.com
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Casasbahia.com
me;Mapfre Seguros
me;Walmart.com
me;Lojas Colombo.com
me;Banco Itaú Unibanco
me;SKY
me;Oi Fixo
me;Oi Fixo
me;Brastemp
me;Claro Celular
me;Tim
me;Centauro.com.br
me;Ricardo Eletro.com
me;Oi Fixo
me;Casas Bahia
me;Submarino
me;Oi Fixo
me;Banco do Brasil
me;Oi Fixo
me;Claro Celular
me;Claro Celular
me;Tim
me;SKY
me;SKY
me;GVT
me;Oi Fixo
me;Oi Celular
me;Submarino
me;Samsung
me;Claro Celular
me;Tam
me;Bradesco Promotora 
me;Lojas Colombo.com
me;Bradesco Promotora 
me;Banco Bradesco
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Banco Santander
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;GVT
me;Claro Celular
me;Claro Celular
me;Brastemp
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Vivo - Telefônica 
me;Tim
me;Bradesco Seguros
me;Oi Fixo
me;Oi Fixo
me;Oi Fixo
me;Tim
me;Itaucard
me;Lojas Colombo
me;Bradescard
me;Banco do Brasil
me;Itaucard
me;Oi Fixo
me;Claro Celular
me;Samsung
me;Claro TV 
me;Bradescard
me;Samsung
me;Oi Fixo
me;Oi Fixo
me;Gol Linhas Aéreas
me;Vivo - Telefônica 
me;Oi Fixo
me;Brastemp
me;Oi Fixo
me;Banco do Brasil
me;American Express - Amex
me;Vivo - Telefônica 
me;Centauro.com.br
me;Losango
me;Caixa Econômica Federal
me;SKY
me;GVT
me;GVT
me;Sou barato
me;Claro Celular
me;Submarino
me;Tam
me;Vivo - Telefônica 
me;Claro Celular
me;Cartão Submarino
me;Submarino
me;SKY
me;Submarino
me;Shoptime
me;Oi Fixo
me;Americanas.com
me;Shoptime
me;Submarino
me;Submarino
me;Submarino
me;Oi Fixo
me;Americanas.com
me;GVT
me;Americanas.com
me;Banco Santander Cartões
me;Vivo - Telefônica 
me;City Lar
me;Claro Celular
me;Cartão Submarino
me;Shoptime
me;Oi Fixo
me;Claro Celular
me;SKY
me;Americanas.com
me;Caixa Econômica Federal
me;Vivo - Telefônica 
me;Credicard
me;Vivo - Telefônica 
me;Submarino
me;Submarino
me;Walmart.com
me;Submarino
me;Submarino
me;Submarino
me;Americanas.com
me;Tim
me;Banco Santander
me;Submarino
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Submarino
me;Submarino
me;Americanas.com
me;Tim
me;Americanas.com
me;Lojas Americanas
me;Oi Fixo
me;Submarino
me;Submarino
me;Banco Santander Cartões
me;Submarino
me;Submarino
me;Oi Fixo
me;Walmart.com
me;Oi Celular
me;Vivo - Telefônica 
me;Claro Celular
me;Claro Celular
me;Oi Celular
me;Submarino
me;Sou barato
me;Cartão Carrefour
me;Dental Uni
me;Vivo - Telefônica 
me;Submarino
me;Submarino
me;Claro Celular
me;Claro TV 
me;Bradesco Cartões
me;SKY
me;Samsung
me;Extra.com
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Oi Fixo
me;GVT
me;GVT
me;Vivo - Telefônica 
me;Pontofrio.com
me;Vivo - Telefônica 
me;SKY
me;Shoptime
me;Magazineluiza.com
me;Vivo - Telefônica 
me;Oi Fixo
me;Walmart.com
me;Submarino
me;Oi Fixo
me;Submarino Viagens
me;Americanas.com
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Oi Fixo
me;Submarino
me;Oi Fixo
me;Submarino
me;Vivo - Telefônica 
me;Oi Fixo
me;Banco Santander
me;Shoptime
me;Caixa Econômica Federal
me;Vivo - Telefônica 
me;Submarino
me;Caixa Econômica Federal
me;Vivo - Telefônica 
me;Credicard
me;Oi Fixo
me;Tim
me;Oi Celular
me;Caixa Seguros
me;Vivo - Telefônica 
me;Oi Fixo
me;Samsung
me;Samsung
me;Magazineluiza.com
me;Oi Fixo
me;Tim
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Brastemp
me;Tim
me;Banco Santander Cartões
me;Oi Fixo
me;Samsung
me;Claro TV 
me;Banco Pan (Panamericano)
me;Claro TV 
me;SKY
me;SKY
me;SKY
me;Tim
me;Oi Celular
me;GVT
me;Claro TV 
me;Submarino
me;Tim
me;Banco Pan (Panamericano)
me;Submarino
me;Oi Fixo
me;Oi Fixo
me;Vivo - Telefônica 
me;Walmart.com
me;SKY
me;Oi Fixo
me;Tim
me;Itaucard
me;Oi Fixo
me;Extra.com
me;Claro TV 
me;Gol Linhas Aéreas
me;Banco Santander Cartões
me;Cartão Submarino
me;SKY
me;Americanas.com
me;Oi Fixo
me;Gol Linhas Aéreas
me;SKY
me;Tim
me;Itaucard
me;Submarino
me;Banco do Brasil
me;Oi Fixo
me;Americanas.com
me;Samsung
me;Submarino
me;Extra.com
me;Vivo - Telefônica 
me;Oi Fixo
me;Vivo - Telefônica 
me;Banco Bradesco
me;Decolar.com
me;Claro Celular
me;Vivo - Telefônica 
me;Oi Fixo
me;Magazineluiza.com
me;Americanas.com
me;Ourocard
me;SKY
me;Oi Fixo
me;Oi Fixo
me;Americanas.com
me;Banco Bradesco
me;Vivo - Telefônica 
me;Submarino
me;Oi Fixo
me;Tim
me;Oi Celular
me;Americanas.com
me;Submarino
me;Vivo - Telefônica 
me;Oi Celular
me;Samsung
me;Bradescard
me;Bradesco Cartões
me;Oi Fixo
me;Vivo - Telefônica 
me;Vivo - Telefônica 
me;Banco Pan (Panamericano)
me;Vivo - Telefônica 
me;Gol Linhas Aéreas
me;Tam
me;Samsung
me;Claro Celular
me;Banco do Brasil
me;Submarino
me;Americanas.com
me;Americanas.com
me;Oi Fixo
me;Oi Fixo
me;Banco do Brasil
me;Americanas.com
me;SKY
me;GVT
me;Submarino
me;Shoptime
me;Shoptime
me;Shoptime
me;Itaucard
me;Tim
me;Caixa Econômica Federal
me;Shoptime
me;Tim
me;Claro Celular
me;Vivo - Telefônica 
me;Americanas.com
me;Shoptime
me;Casas Bahia
me;Claro TV 
me;Americanas.com
me;Submarino
me;Americanas.com
me;Banco Bradesco
me;Vivo - Telefônica 
me;Banco Santander Cartões
me;Submarino
me;SKY
me;Americanas.com
me;Submarino
me;Submarino
me;Claro TV 
me;Magazineluiza.com
me;SKY
me;Walmart.com
me;Claro Celular
me;Santander Financiamentos
me;Magazineluiza.com
me;Shoptime
me;Submarino
me;Submarino
me;Magazineluiza.com
me;GVT
me;Submarino
me;Shoptime
me;Americanas.com
me;Magazineluiza.com
me;Submarino
me;Submarino
me;Submarino
me;Submarino
me;Submarino
me;Submarino
me;Caixa Econômica Federal
me;Tim
me;Extra.com
